iter	Passed	Remaining
296	532	1261
297	534	1258
298	536	1256
299	537	1253
300	538	1250
301	539	1247
302	541	1244
303	542	1242
304	543	1239
305	545	1236
306	546	1234
307	548	1232
308	550	1231
309	551	1227
310	553	1225
311	554	1222
312	555	1219
313	556	1215
314	557	1212
315	558	1209
316	560	1207
317	561	1204
318	562	1201
319	563	1198
320	564	1195
321	566	1192
322	567	1189
323	568	1186
324	569	1183
325	570	1180
326	572	1177
327	573	1174
328	574	1172
329	575	1169
330	576	1166
331	578	1163
332	579	1160
333	580	1157
334	581	1154
335	582	1151
336	584	1149
337	585	1146
338	586	1143
339	587	1141
340	589	1138
341	590	1136
342	591	1133
343	592	1130
344	594	1127
345	595	1125
346	596	1122
347	597	1119
348	598	1116
349	599	1113
350	600	1111
351	602	1108
352	603	1105
353	604	1103
354	605	1100
355	606	1097
356	607	1095
357	609	1092
358	610	1089
359	611	1087
360	612	1084
361	614	1082
362	615	1080
363	617	1078
364	618	1076
365	620	1074
366	622	1072
367	624	1071
368	626	1070
369	628	1069
370	630	1069
371	633	1069
372	636	1069
373	638	1067
374	640	1067
375	643	1068
376	645	1066
377	647	1064
378	649	1063
379	651	1063
380	653	1061
381	655	1060
382	657	1059
383	660	1059
384	662	1058
385	663	1056
386	665	1054
387	667	1052
388	670	1052
389	672	1051
390	674	1050
391	676	1048
392	678	1047
393	680	1045
394	682	1044
395	684	1043
396	686	1042
397	688	1041
398	691	1040
399	692	1039
400	696	1040
401	698	1039
402	701	1039
403	704	1039
404	708	1040
405	710	1040
406	713	1039
407	714	1037
408	716	1035
409	718	1033
410	719	1031
411	721	1029
412	723	1028
413	725	1027
414	727	1025
415	729	1024
416	731	1022
417	733	1021
418	735	1019
419	737	1018
420	739	1016
421	741	1015
422	742	1012
423	743	1010
424	745	1008
425	747	1006
426	748	1004
427	750	1002
428	751	1000
429	753	999
430	755	997
431	757	995
432	758	993
433	760	991
434	761	989
435	763	987
436	765	986
437	767	984
438	769	982
439	770	980
440	772	978
441	773	976
442	775	974
443	777	973
444	778	971
445	780	969
446	781	966
447	782	964
448	784	962
449	785	959
450	786	957
451	787	955
452	789	953
453	790	950
454	792	948
455	794	947
456	795	945
457	797	943
458	798	941
