iter	Passed	Remaining
178	293	1346
179	294	1340
180	295	1335
181	296	1332
182	297	1329
183	298	1325
184	299	1320
185	300	1315
186	301	1310
187	302	1305
188	303	1301
189	304	1296
190	304	1291
191	305	1287
192	306	1282
193	307	1277
194	308	1273
195	309	1268
196	310	1264
197	311	1260
198	312	1258
199	313	1254
200	314	1249
201	315	1245
202	316	1241
203	316	1236
204	317	1232
205	318	1228
206	319	1224
207	320	1220
208	321	1216
209	322	1211
210	323	1207
211	323	1203
212	324	1199
213	325	1196
214	327	1193
215	328	1191
216	329	1188
217	330	1184
218	331	1180
219	331	1176
220	332	1173
221	333	1169
222	334	1165
223	335	1162
224	336	1158
225	337	1155
226	338	1151
227	338	1147
228	339	1144
229	340	1140
230	342	1138
231	343	1136
232	344	1133
233	345	1129
234	346	1126
235	346	1123
236	347	1119
237	348	1116
238	349	1113
239	350	1109
240	351	1106
241	352	1103
242	353	1099
243	353	1096
244	354	1093
245	355	1090
246	356	1087
247	357	1085
248	359	1083
249	360	1080
250	361	1078
251	362	1076
252	363	1073
253	364	1070
254	365	1067
255	366	1064
256	367	1061
257	368	1058
258	368	1055
259	369	1052
260	370	1049
261	371	1047
262	373	1045
263	374	1042
264	374	1039
265	375	1037
266	376	1034
267	377	1031
268	378	1028
269	379	1025
270	380	1022
271	381	1020
272	382	1017
273	383	1015
274	383	1012
275	384	1009
276	385	1007
277	387	1005
278	388	1003
279	389	1001
280	390	998
281	391	995
282	392	993
283	392	990
284	393	987
285	394	985
286	395	982
287	396	980
288	397	977
289	398	975
290	399	972
291	400	970
292	401	967
293	402	966
294	403	965
295	405	963
296	406	961
297	407	959
298	408	957
299	409	954
300	409	952
301	410	949
302	411	947
303	412	944
304	413	942
305	414	940
306	415	937
307	416	935
308	418	935
309	419	933
310	420	932
311	422	930
312	423	929
313	424	927
314	425	925
315	426	923
316	427	921
317	428	918
318	429	916
319	430	914
320	431	912
321	432	910
322	433	909
323	434	907
324	435	905
325	436	902
326	437	900
327	438	898
328	439	896
329	440	894
330	441	892
331	442	889
332	443	887
333	444	885
334	445	883
335	446	881
336	447	880
337	448	878
338	449	877
339	450	875
340	451	873
341	453	872
342	454	870
343	455	868
344	456	866
345	457	864
346	458	862
347	459	860
348	460	858
349	461	856
350	462	854
351	463	853
352	464	851
353	465	849
354	466	848
355	467	845
356	468	843
357	469	841
358	470	839
359	471	838
360	472	836
361	473	834
362	474	832
363	475	830
364	476	828
365	477	827
366	478	826
367	480	824
368	480	822
369	481	820
370	482	818
371	483	816
372	484	814
373	485	813
374	486	810
375	487	808
376	488	806
377	489	805
378	490	803
379	491	801
380	492	800
381	493	799
382	494	797
383	496	795
384	497	793
385	497	792
386	498	790
387	499	788
388	500	786
389	501	784
390	502	782
391	504	782
392	505	780
393	506	778
394	507	777
395	509	776
396	510	775
397	511	773
398	512	772
399	514	771
400	515	769
401	516	768
402	517	767
403	519	765
404	520	764
405	521	762
406	523	762
407	524	760
408	525	759
409	526	757
410	527	756
411	528	754
412	529	752
413	530	751
414	531	749
415	532	747
416	533	746
417	534	744
418	536	743
419	537	742
420	538	741
421	540	739
422	542	740
423	544	739
424	545	737
425	546	736
426	547	734
427	548	733
428	549	731
429	550	730
430	553	730
431	554	728
432	555	727
433	556	725
434	557	724
435	558	723
436	560	722
437	561	720
438	562	718
439	563	716
440	564	715
441	565	713
442	567	713
443	569	712
444	570	711
445	571	710
446	573	708
447	574	707
448	575	706
449	576	704
450	577	703
451	578	701
452	579	699
453	580	698
454	582	697
455	583	696
456	585	695
457	586	693
458	587	692
459	588	690
460	589	689
461	590	687
462	591	686
463	592	684
464	593	682
465	594	680
466	595	679
467	597	679
468	599	678
469	600	676
470	601	675
471	602	673
472	603	672
473	604	671
474	605	669
475	606	667
476	607	666
477	608	664
478	609	663
479	610	661
480	613	661
481	614	660
482	615	659
483	616	657
